Accession	Protein	MW [kDa]	pI	Rank	Peptides	Scores	SpecCount	SeqCov	Vorkommen	vIa_30min	20a_30min	40a_30min	60a_30min	80a_30min	vIb_120min	20b_120min	40b_120min	60b_120min	80b_120min
gi|15799694	molecular chaperone DnaK [Escherichia coli O157:H7 EDL933]	69,1	4,7	1	48	3376.0 (M:3376.0)	551	82,9	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	30	34	36	30	36	68	100	81	64	72
gi|26250758	DNA-directed RNA polymerase subunit beta [Escherichia coli CFT073]	151,8	5	2	51	2831.0 (M:2831.0)	249	47,7	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	35	25	12	14	1	48	45	33	29	7
gi|2624772	Chain A, Crystal Structure Of The Asymmetric Chaperonin Complex GroelGROES(ADP)7	57,2	4,7	3	67	2746.7 (M:2746.7)	655	67,1	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	30	36	35	26	35	92	114	113	86	88
gi|223404	protein S1	61,1	4,7	4	38	2612.5 (M:2612.5)	418	68,4	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	23	22	25	19	26	87	76	45	42	53
gi|99999999	recombinant GST-transgelin [Homo sapiens]	38,9	6,4	5	48	2599.2 (M:2599.2)	938	75,4	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	3	57	60	84	98	20	134	180	140	162
gi|26110363	Elongation factor Tu [Escherichia coli CFT073]	44,8	5,1	6	102	2540.0 (M:2540.0)	934	85,6	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	45	66	49	55	55	142	156	122	129	115
gi|15803853	elongation factor G [Escherichia coli O157:H7 EDL933]	77,5	5,1	7	37	2485.4 (M:2485.4)	489	64,1	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	42	34	27	22	26	81	75	57	55	70
gi|21541785	beta-lactamase TEM-105 [Escherichia coli]	31,5	5,6	8	54	2389.3 (M:2389.3)	524	81,5	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	26	32	37	32	45	31	62	86	84	89
gi|194440124	pyruvate dehydrogenase (acetyl-transferring), homodimeric type [Escherichia coli 101-1]	99,6	5,4	9	38	2323.8 (M:2323.8)	312	54,3	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	30	29	18	14	13	59	45	39	37	28
gi|47168592	Chain A, Tem-1 Beta-Lactamase In Complex With A Novel, Core- Disrupting, Allosteric Inhibitor	28,9	5,5	10	53	2230.4 (M:2230.4)	501	78,7	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	24	30	36	31	44	29	58	81	84	84
